ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma_de_Venda,Região
39483,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1274,120.0,Presencial,Sudeste
48375,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1544,120.0,Presencial,Sudeste
90270,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_6418,120.0,Presencial,Sudeste
53171,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_19747,250.0,Presencial,Sudeste
59136,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_14239,250.0,Presencial,Sudeste
41071,2023-01-01,São Paulo,Teclado Mecânico,250.0,2,Cliente_11176,500.0,Presencial,Sudeste
251,2023-01-01,São Paulo,Teclado Mecânico,250.0,3,Cliente_22822,750.0,Presencial,Sudeste
19307,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_15962,3200.0,Presencial,Sudeste
62583,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_16151,3200.0,Presencial,Sudeste
13090,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_9087,3500.0,Presencial,Sudeste
53437,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_1245,3500.0,Presencial,Sudeste
65754,2023-01-01,São Paulo,iPhone 14,5500.0,1,Cliente_10437,5500.0,Presencial,Sudeste
47465,2023-01-01,São Paulo,iPhone 14,5500.0,3,Cliente_7589,16500.0,Presencial,Sudeste
29418,2023-01-01,São Paulo,iPhone 14,5500.0,5,Cliente_1329,27500.0,Presencial,Sudeste
89400,2023-01-02,São Paulo,Cabo HDMI,40.0,1,Cliente_23051,40.0,Presencial,Sudeste
15061,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_8305,120.0,Presencial,Sudeste
51029,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_5009,120.0,Presencial,Sudeste
81208,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_16992,120.0,Presencial,Sudeste
9394,2023-01-02,São Paulo,Cabo HDMI,40.0,5,Cliente_2084,200.0,Presencial,Sudeste
34533,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_27718,240.0,Presencial,Sudeste
43320,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_19425,240.0,Presencial,Sudeste
73891,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_29083,240.0,Presencial,Sudeste
71124,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_12106,250.0,Presencial,Sudeste
85148,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_7124,250.0,Presencial,Sudeste
92990,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_10005,250.0,Presencial,Sudeste
12990,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_2598,1200.0,Presencial,Sudeste
55766,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9295,1200.0,Presencial,Sudeste
83803,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_29857,1200.0,Presencial,Sudeste
93834,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9954,1200.0,Presencial,Sudeste
32644,2023-01-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_1904,2200.0,Presencial,Sudeste
23258,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_7254,5500.0,Presencial,Sudeste
73840,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_4694,5500.0,Presencial,Sudeste
76565,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_16854,5500.0,Presencial,Sudeste
89139,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_11210,5500.0,Presencial,Sudeste
27096,2023-01-02,São Paulo,Notebook Dell,3500.0,3,Cliente_29144,10500.0,Presencial,Sudeste
35914,2023-01-02,São Paulo,iPhone 14,5500.0,2,Cliente_7156,11000.0,Presencial,Sudeste
30197,2023-01-03,São Paulo,Cabo HDMI,40.0,1,Cliente_5088,40.0,Presencial,Sudeste
72985,2023-01-03,São Paulo,Teclado Mecânico,250.0,1,Cliente_19986,250.0,Presencial,Sudeste
97755,2023-01-03,São Paulo,Teclado Mecânico,250.0,1,Cliente_27296,250.0,Presencial,Sudeste
40147,2023-01-03,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21822,2200.0,Presencial,Sudeste
44630,2023-01-03,São Paulo,Smartphone Samsung,2200.0,1,Cliente_26405,2200.0,Presencial,Sudeste
44710,2023-01-03,São Paulo,Notebook HP,3200.0,1,Cliente_13755,3200.0,Presencial,Sudeste
68946,2023-01-03,São Paulo,Notebook HP,3200.0,1,Cliente_27102,3200.0,Presencial,Sudeste
11209,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_17995,3500.0,Presencial,Sudeste
30052,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_16022,3500.0,Presencial,Sudeste
47411,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_5715,3500.0,Presencial,Sudeste
80584,2023-01-03,São Paulo,Smartphone Samsung,2200.0,2,Cliente_10751,4400.0,Presencial,Sudeste
95160,2023-01-03,São Paulo,Smartphone Samsung,2200.0,2,Cliente_18831,4400.0,Presencial,Sudeste
1399,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_22487,5500.0,Presencial,Sudeste
21446,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_17778,5500.0,Presencial,Sudeste
62560,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_7229,5500.0,Presencial,Sudeste
98220,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_4487,5500.0,Presencial,Sudeste
98577,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_6055,5500.0,Presencial,Sudeste
26057,2023-01-03,São Paulo,Notebook HP,3200.0,2,Cliente_6946,6400.0,Presencial,Sudeste
36755,2023-01-03,São Paulo,Notebook HP,3200.0,2,Cliente_3274,6400.0,Presencial,Sudeste
